date,election_type,level,election_name,registration,registration_basis,total_turnout,total_turnout_class,turnout_pct,night_of_count,night_count_class,night_observed_at,night_pct_of_final,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source,sources_record_id
1899-12-27,Special,municipal,Park-bond special (Municipal Reports cumulative table),70681,as recorded for this election,29972,certified / official canvass,42.4,29958,actual count as reported by the source,1899-12-28T03:00:00,100.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports cumulative table: certified 29,972 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1899-12-28 (section SFC18991228.2.5.2): printed total votes cast 29,958, operator hand-read of the page image 2026-07-07 settling the 3/5 OCR ambiguity in agreement wi",,,1899-12-27
1899-12-29,Special,municipal,Sewer-bond special (the DOE turnout table dates it 1899-12-02; see doe-data-discrepancies.md),70726,as recorded for this election,22331,certified / official canvass,31.6,22322,actual count as reported by the source,1899-12-30T03:00:00,100.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),DOE turnout table row,"SF Examiner via ProQuest (SFPL ezproxy, publication 2069514 covering 1889-1902), 1899-12-30 p1 'VICTORY FOR THE CHAMPIONS OF CITY PROGRESS' THE VOTE table (docview 2132356675): 18 assembly-district ro",,,1899-12-29
1900-11-06,Presidential,statewide,President + Congress + Legislature,73633,as recorded for this election,63202,certified / official canvass,85.8,36646,actual count as reported by the source,1900-11-07T03:00:00,58.0,,,Municipal Reports cumulative table,California Blue Book / State Roster 1903 pp.311-314,"SF Chronicle (NewsBank image scan via SFPL), 1900-11-07 p9 (SF returns section, 'Pages 9 to 16')",,,1900-11-06
1901-08-13,Primary,municipal,Municipal primary — registrar cumulative table,76192,as recorded for this election,22939,certified / official canvass,30.1,22898,actual count as reported by the source,1901-08-14T03:00:00,99.8,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.260","Registrar cumulative table official total 22,939 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1901-08-14 p1 (SFC19010814.2.2.1): 'The total vote cast in the 106 precincts yesterday was 22,898. Of this number the Republicans cast 19,021, the Democrats 3633 and the Socialists 244'",,,1901-08-13
1901-11-05,Municipal,municipal,Mayor (Schmitz),77890,as recorded for this election,53746,certified / official canvass,69.0,38982,lower bound (only part of the count could be extracted; the true night count is higher),1901-11-06T03:00:00,72.5,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 53,746 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1901-11-06 'INCOMPLETE RETURNS OF THE LOCAL ELECTION AS COMPILED TO 1:30 THIS MORNING' (section SFC19011106.2.7): Mayor 4-candidate sum 38,982",,,1901-11-05
1902-08-12,Primary,municipal,State primary — registrar cumulative table (the FY1915-16 index prints Aug. 25; both chronological printings print Aug. 12),51726,as recorded for this election,28697,certified / official canvass,55.5,,,,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",documented dead end: morning Call printed winners-only delegate lists,,,1902-08-12
1902-11-04,Gubernatorial,statewide,Governor + state officers,70716,as recorded for this election,60067,certified / official canvass,84.9,0,actual count as reported by the source,1902-11-05T03:00:00,0.0,,,Municipal Reports cumulative table,California Blue Book / State Roster 1903 p.332,"SF Chronicle (NewsBank image scan via SFPL), 1902-11-05 p1 'Only a Small Percentage of the Votes Counted Up to Midnight' — SF Governor row BLANK (no SF count by the morning paper)",,,1902-11-04
1902-12-02,Special,municipal,Geary Street Railroad bond special (DOE turnout table; Municipal Reports confirm),70764,as recorded for this election,26612,certified / official canvass,37.6,26454,actual count as reported by the source,1902-12-03T03:00:00,99.4,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports): certified 26,612 ballots","SF Call via CDNC (cdnc.ucr.edu), 1902-12-03 (section SFC19021203.2.128): For 15,120 + Against 11,334 = 26,454 used as the conservative floor",,,1902-12-02
1902-12-04,Special,municipal,Charter-amendments special (Municipal Reports cumulative table),70764,as recorded for this election,14271,certified / official canvass,20.2,14167,actual count as reported by the source,1902-12-05T03:00:00,99.3,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports cumulative table: certified 14,271 ballots per vols 53/55 (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1902-12-05 'ONE AMENDMENT SUFFERS DEFEAT' (section SFC19021205.2.52): printed 'Only 14,167 votes were cast' - 104 below certified",,,1902-12-04
1903-08-11,Primary,municipal,Municipal primary — registrar cumulative table,73280,as recorded for this election,26039,certified / official canvass,35.5,26021,actual count as reported by the source,1903-08-12T03:00:00,99.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 26,039 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1903-08-12 p4 (SFC19030812.2.37.1): 'The official figures at the Registrar's office place the number at 26,021' = exact party sum 13,306 R + 7,443 D + 5,066 UL + 206 Soc",,,1903-08-11
1903-09-29,Special,municipal,Sewer and other bonds special (DOE turnout table; Municipal Reports confirm),73540,as recorded for this election,27308,certified / official canvass,37.1,27234,actual count as reported by the source,1903-09-30T03:00:00,99.7,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports): certified 27,308 ballots","SF Call via CDNC (cdnc.ucr.edu), 1903-09-30 'PEOPLE INDORSE BOND IMPROVEMENTS' (section SFC19030930.2.60): 'total number of votes polled, which was 27,234' (stated twice) - 74 below certified",,,1903-09-29
1903-10-08,Special,municipal,Street-railroad bonds special (DOE turnout table; Municipal Reports confirm),73702,as recorded for this election,25276,certified / official canvass,34.3,25259,actual count as reported by the source,1903-10-09T03:00:00,99.9,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports, printed 25,276): certified 25,276 ballots","SF Call via CDNC (cdnc.ucr.edu), 1903-10-09 'ELECTORS DECLARE OVERWHELMINGLY AGAINST THE GEARY-STREET BOND ISSUE' (section SFC19031009.2.129): 'out of a total of 25,259'",,,1903-10-08
1903-11-03,Municipal,municipal,Mayor (Schmitz re-elected),79684,as recorded for this election,59824,certified / official canvass,75.1,39326,lower bound (only part of the count could be extracted; the true night count is higher),1903-11-04T03:00:00,65.7,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 59,824 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1903-11-04 Registrar's Office table 'up to 1 o'clock this morning' (section SFC19031104.2.76): Mayor sum 39,326",,,1903-11-03
1904-05-03,Primary,municipal,Primary — registrar cumulative table,32721,as recorded for this election,9384,certified / official canvass,28.7,9370,actual count as reported by the source,1904-05-04T03:00:00,99.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 9,384 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1904-05-04 p4 (SFC19040504.2.22): 'The total vote cast was 9370, of which 6705 were Republican and 2647 Democratic'",,,1904-05-03
1904-08-09,Primary,municipal,State primary — registrar cumulative table,50708,as recorded for this election,18141,certified / official canvass,35.8,17914,actual count as reported by the source,1904-08-10T03:00:00,98.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 18,141 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1904-08-10 p4 (SFC19040810.2.48.2): semi-official 17,914, 'returns in Precinct 109, Forty-fourth District lacking'",,,1904-08-09
1904-11-08,Presidential,statewide,President + Congress + Legislature,81576,as recorded for this election,65427,certified / official canvass,80.2,48957,actual count as reported by the source,1904-11-09T03:00:00,74.8,,,Municipal Reports cumulative table,California Blue Book / State Roster 1907 pp.419-422,"SF Chronicle (NewsBank image scan via SFPL), 1904-11-09 p9 (SF returns section)",,,1904-11-08
1905-08-08,Primary,municipal,Municipal primary — FY1915-16 categorized index p.331 (both chronological printings skip this row),87062,as recorded for this election,41117,certified / official canvass,47.2,38120,actual count as reported by the source,1905-08-09T03:00:00,92.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.331","Election Commissioners official declaration 1905-08-14 (SF Call 1905-08-15 p10, SFC19050815.2.110): total 41,117 (R 31,728 + D 3,732 + Soc 319 + UL 4,500 + scattering 838), all columns foot exactly","SF Call 1905-08-09 p2 'SUMMARY OF THE VOTE' (SFC19050809.2.8.3/.2.8.5): 2 AM compilation TOTAL 38,120, foots exactly",,,1905-08-08
1905-11-07,Municipal,municipal,"Mayor (Schmitz, 3rd) + Supervisors",97670,as recorded for this election,71033,certified / official canvass,72.7,71033,actual count as reported by the source,1905-11-08T03:00:00,100.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Call E+1 complete count 71,033, promoted by operator decision over the Municipal Reports rounded fire-era estimate of 72,000 (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1905-11-08 'SCHMITZ'S LEAD IS OVER 10,000' (section SFC19051108.2.2.3): printed 'Total vote cast: 71,033' with Schmitz 40,191 + Partridge 28,687 + Castner 1,686",,,1905-11-07
1906-08-14,Primary,municipal,State primary — registrar cumulative table,22026,as recorded for this election,10824,certified / official canvass,49.1,10554,actual count as reported by the source,1906-08-15T03:00:00,97.5,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 10,824 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1906-08-15 pp1-2 (SFC19060815.2.9): 'total registration ... 22,026, and the total vote polled 10,554, with the Thirty-fourth Precinct of the Thirty-seventh to be heard from'",,,1906-08-14
1906-11-06,Gubernatorial,statewide,Governor + state officers,51633,as recorded for this election,38564,certified / official canvass,74.7,37287,actual count as reported by the source,1906-11-07T03:00:00,96.7,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 38,564 ballots, 129 precincts (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1906-11-07 'Figures Show How City's Citizens Cast Votes' (section SFC19061107.2.10.5), semi-official returns after revision by the Registrar's deputies at midnight, al",,,1906-11-06
1907-08-13,Primary,city,Municipal primary — registrar cumulative table,60469,as recorded for this election,22851,certified / official canvass,37.8,20801,actual count as reported by the source,1907-08-14T03:00:00,91.0,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 22,851 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1907-08-14 p2 'The Vote by Assembly Districts' (SFC19070814.2.10.3, lead .2.5): 'Total republican vote, 12,019",,,1907-08-13
1907-11-05,Municipal,municipal,Mayor (Taylor) — post-graft-trial,77601,as recorded for this election,55994,certified / official canvass,72.2,12472,actual count as reported by the source,1907-11-06T03:00:00,22.3,,,"Municipal Reports cumulative table, vol57 p.871","SF Chronicle (NewsBank image scan via SFPL), 1907-11-07 p2 'BRODERICK IS ELECTED' — most-complete Mayor total 55,994 across 269/273 precincts","SF Chronicle (NewsBank image scan via SFPL), 1907-11-06 p1 returns box (10pm) — DEEP HAND-COUNT era",,,1907-11-05
1908-05-05,Primary,city,State primary — registrar cumulative table,36564,as recorded for this election,24178,certified / official canvass,66.1,,,,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",documented dead end: only printed overnight total exceeds the official final,,,1908-05-05
1908-05-11,Special,city,,79000,as recorded for this election,23560,news-derived complete count,29.8,23550,actual count as reported by the source,1908-05-12T03:00:00,100.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),SF Call 1908-05-12 complete unofficial count,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1908-05-12 p1 'CITIZEN'S APPROVAL TEN TO ONE': 'Out of a total vote of 23,550 the auxiliary water system led with 21,488... A",,,1908-05-11
1908-08-11,Primary,city,State primary — registrar cumulative table,55437,as recorded for this election,33331,certified / official canvass,60.1,30647,lower bound (only part of the count could be extracted; the true night count is higher),1908-08-12T03:00:00,91.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","FY1908-09 Municipal Reports certified canvass p.1125: all-party total 33,331 (R 22,698 + D 8,605 + Ind 176 + Soc 301 + Proh 24 + UL 1,527)","SF Call 1908-08-12 p2 'The Vote of the City by Districts' (SFC19080812.2.14.2, lead .2.2): printed totals row 173 | 10,371 | 11,746 | 4,941 | 3,589 (OPERATOR-CONFIRMED 2026-07-09)",,,1908-08-11
1908-11-03,General,city,,75388,as recorded for this election,61625,single-contest floor (a lower bound on ballots cast),81.7,36450,actual count as reported by the source,1908-11-04T03:00:00,59.1,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports registrar cumulative table: official total vote polled 61,625, registration 75,388","SF Chronicle (NewsBank image scan via SFPL), 1908-11-04 PRES SF sum=36450, 300/300 precincts, complete",,,1908-11-03
1908-11-12,Special,city,,75467,as recorded for this election,41137,news-derived complete count,54.5,41011,actual count as reported by the source,1908-11-13T03:00:00,99.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1908-11-13 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1908-11-13 p2 'Returns on Bond Election', 18-district table totals: Prop 1 Yes 34,950 / No 5,708",,,1908-11-12
1909-06-22,Special,city,,75679,as recorded for this election,24058,news-derived complete count,31.8,23133,lower bound (only part of the count could be extracted; the true night count is higher),1909-06-23T03:00:00,96.2,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",Derived from SF Call 1909-06-25 arithmetic (news-derived final),SF Call 1909-06-23 p2 'How Two Bond Issues Fared at City Polls' (SFC19090623.2.22.x): district table's citywide totals row blank in print,,,1909-06-22
1909-06-24,Special,city,,75808,as recorded for this election,22272,news-derived complete count,29.4,22258,actual count as reported by the source,1909-06-25T03:00:00,99.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-06-25 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1909-06-25 'BY just 436 votes the Geary street railroad bonds failed... A total of 22,258 votes were cast -- 14,403 for the bo",,,1909-06-24
1909-08-17,Primary,city,Municipal primary — registrar cumulative table,84571,as recorded for this election,38317,certified / official canvass,45.3,5452,lower bound (only part of the count could be extracted; the true night count is higher),1909-08-18T03:00:00,14.2,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 38,317 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1909-08-18 p1/p2 (SFC19090818.2.9/.2.17.3/.2.2): 'returns from 59 out of 149 precincts, available at midnight': republican Mayor contest floor Countryman 916 + Crocker 2,376 + Mauzy 2,160 = 5,",,,1909-08-17
1909-11-02,General,city,,90790,as recorded for this election,65065,news-derived complete count,71.7,,,,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-11-04 complete unofficial count (news-derived final),documented dead end: winners conceded on prose pluralities; no returns table printed,,,1909-11-02
1909-12-30,Special,city,,90957,as recorded for this election,43189,news-derived complete count,47.5,43081,actual count as reported by the source,1909-12-31T03:00:00,99.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-12-31 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1909-12-31 p1 'At six o'clock the polls closed and the count began... The total count showed 43,081 votes'",,,1909-12-30
1910-01-14,Special,city,,91026,as recorded for this election,35015,certified / official canvass,38.5,34939,actual count as reported by the source,1910-01-15T03:00:00,99.8,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Municipal Reports official: 35,015","SF Call 1910-01-15 p9 'Vote Cast For and Against the Hetch Hetchy Project and the Purchase of Spring Valley' (SFC19100115.2.18.4, banner .2.2): COMPLETE overnight count, printed 'Total vote cast 34,93",,,1910-01-14
1910-08-16,Primary,city,State primary — registrar cumulative table,67513,as recorded for this election,47532,certified / official canvass,70.4,9557,lower bound (only part of the count could be extracted; the true night count is higher),1910-08-17T03:00:00,20.1,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 47,532 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1910-08-17 p1 (SFC19100817.2.3.1): midnight partial, 100 scattered precincts",,,1910-08-16
1910-11-08,General,city,,75828,as recorded for this election,59724,certified / official canvass,78.8,10640,actual count as reported by the source,1910-11-09T03:00:00,17.8,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","DOE turnout 59,724 (consistent, ~ SOV SF Governor 59,182: Johnson 25,528+Bell 24,065+Wilson 9,476+Meads 113). CA SoS Statement of Vote 1910, https://archive.org/details/statementofvo19081922cali","SF Chronicle (NewsBank image scan via SFPL), 1910-11-09 Governor SF sum=10640, 176/352 precincts, 0.5",,,1910-11-08
1910-11-15,Special,city,"Charter amendments, one week after the state general — registrar cumulative table",75828,as recorded for this election,45889,certified / official canvass,60.5,2325,lower bound (only part of the count could be extracted; the true night count is higher),1910-11-16T03:00:00,5.1,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 45,889 (data/sources/sf_turnout_registrar_1899_1916.csv)",SF Call 1910-11-16 p1/p2 (SFC19101116.2.2/.2.25): 'complete returns ... up to midnight ... 61 scattering precincts',,,1910-11-15
1911-09-26,Primary,city,Municipal primary — registrar cumulative table,101955,as recorded for this election,79019,certified / official canvass,77.5,3987,lower bound (only part of the count could be extracted; the true night count is higher),1911-09-27T03:00:00,5.0,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Dept of Elections canvass, FY1911-12 vol p.195: 18-district Total Vote Polled sums exactly 79,019","SF Call 1911-09-27 p1 (SFC19110927.2.2): Zemansky's midnight compilation, coroner contest sum 3,987 at 186 partial precincts (Eggers 1,714 + Finn 1,657 + ...)",,,1911-09-26
1911-10-10,Special,city,,101894,as recorded for this election,59266,certified / official canvass,58.2,31032,lower bound (only part of the count could be extracted; the true night count is higher),1911-10-11T03:00:00,52.4,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Municipal Reports official: 59,266","SF Call 1911-10-11 p1 (SFC19111011.2.9): 'In 220 precincts ... 19,869 against suffrage and 11,163 in favor' = suffrage contest floor 31,032 (the city voting against while the state carried it)",,,1911-10-10
1911-11-07,Municipal,city,,102196,as recorded for this election,69689,news-derived complete count,68.2,20633,lower bound (only part of the count could be extracted; the true night count is higher),1911-11-08T00:30:00,29.6,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1911-11-09 complete unofficial count,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1911-11-08 p1: 'At Midnight His Opponent Led Him by 1,500 Votes in Over Twenty Thousand Counted'",,,1911-11-07
1912-03-28,Special,city,,115427,as recorded for this election,49498,news-derived complete count,42.9,49168,lower bound (only part of the count could be extracted; the true night count is higher),1912-03-29T03:00:00,99.3,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","SF Call 1912-03-30 total-ballots statement 49,917 (news-derived final)","SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1912-03-29 'The total vote cast was 45,133 for the bonds and 4,035 against' with full district table",,,1912-03-28
1912-03-29,Special,city,,115445,as recorded for this election,32058,news-derived complete count,27.8,31968,actual count as reported by the source,1912-03-30T03:00:00,99.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1912-03-30 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1912-03-30: 'The total vote cast yesterday wa£ 31,968, as against 49.917 the day before'",,,1912-03-29
1912-05-14,Primary,city,Presidential primary — registrar cumulative table,136490,as recorded for this election,62407,certified / official canvass,45.7,60700,lower bound (only part of the count could be extracted; the true night count is higher),1912-05-15T03:00:00,97.3,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 62,407 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-05-15 p2 'LOCAL RESULTS ANALYZED' (SFC19120515.2.18, lead .2.2): delegate-slate contest sum, 354/356 precincts: Roosevelt 21,650 + Taft 17,851 + La Follette 10,004 + Wilson 3,345 + Clark",,,1912-05-14
1912-09-03,Primary,city,State primary — registrar cumulative table,119933,as recorded for this election,65948,certified / official canvass,55.0,53721,lower bound (only part of the count could be extracted; the true night count is higher),1912-09-04T03:00:00,81.5,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 65,948 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-09-04 p1 'THIS CITY'S VOTE IN DETAIL' (SFC19120904.2.8/.2.11): 'Returns from 454 out of 463 precincts', clocked 2 AM",,,1912-09-03
1912-11-05,General,city,,134688,as recorded for this election,105646,certified / official canvass,78.4,89789,actual count as reported by the source,1912-11-06T03:00:00,85.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 105,646 consistent (>= SOV SF President 101,148: Wilson 48,953+Roosevelt 38,610+Debs 12,354+Chafin 1,158). CA SoS Statement of Vote 1912, https://archive.org/details/statementofvo19081922c","SF Chronicle (NewsBank image scan via SFPL), 1912-11-06 PRES SF sum=89789, 600/638 precincts, partial",,,1912-11-05
1912-12-10,Special,city,,136914,as recorded for this election,83850,certified / official canvass,61.2,22534,actual count as reported by the source,1912-12-11T03:00:00,26.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","SF Municipal Reports registrar cumulative table: official total vote polled 83,850, registration 136,914","SF Chronicle (NewsBank image scan via SFPL), 1912-12-11 p2 'Tabulation of the Registrar' — HAND-COUNT era, PARTIAL 169/479 precincts by morning (~35%)",,,1912-12-10
1912-12-20,Special,city,"General-utilities bonds, ten days after the charter-amendments special — registrar cumulative table",136914,as recorded for this election,47484,certified / official canvass,34.7,47238,actual count as reported by the source,1912-12-21T03:00:00,99.5,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 47,484 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-12-21 p1 'Story of Voting at a Glance / Only 47,238 Ballots Cast' (SFC19121221.2.3, tables .2.2): 'Complete Unofficial Returns' printed E+1 morning",,,1912-12-20
1913-04-22,Special,city,,137718,as recorded for this election,62876,news-derived complete count,45.7,62691,actual count as reported by the source,1913-04-23T03:00:00,99.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1913-04-23 figures box total,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1913-04-23: headline 'Large Vote Cast for Special Election--Total 62,934' vs the figures box 'Total Vote ... 62,691'",,,1913-04-22
1913-08-26,Special,city,,141254,as recorded for this election,65522,certified / official canvass,46.4,65478,actual count as reported by the source,1913-08-27T03:00:00,99.9,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","SF Municipal Reports registrar cumulative table: official total vote polled 65,522, registration 141,254","SF Chronicle (NewsBank image scan via SFPL), 1913-08-27 p1 — HAND-COUNT era but SINGLE-QUESTION bond → COMPLETE overnight",,,1913-08-26
1913-09-30,Primary,city,Municipal primary — registrar cumulative table,143075,as recorded for this election,65905,certified / official canvass,46.1,,,,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 65,905 (data/sources/sf_turnout_registrar_1899_1916.csv)",documented dead end: count finished after the 6 AM cutoff (E+1 daytime count on file),,,1913-09-30
1913-11-11,Municipal,city,General municipal — registrar cumulative table,146462,as recorded for this election,72551,certified / official canvass,49.5,70442,lower bound (only part of the count could be extracted; the true night count is higher),1913-11-12T03:00:00,97.1,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 72,551 (data/sources/sf_turnout_registrar_1899_1916.csv)","SF Call 1913-11-12 p9 'MIXED TICKET' (SFC19131112.2.74): Registrar Zemansky's first complete count 'announced this morning' printed 'Total vote 72,574' which EXCEEDS the certified final by 23",,,1913-11-11
1914-08-25,Primary,city,State primary — registrar cumulative table,147130,as recorded for this election,97417,certified / official canvass,66.2,491,lower bound (only part of the count could be extracted; the true night count is higher),1914-08-26T03:00:00,0.5,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 97,417 (data/sources/sf_turnout_registrar_1899_1916.csv)",SF Chronicle 1914-08-26 p1 + p9 'COUNT OF VOTE IN CITY PROCEEDS SLOWLY' (NewsBank image edition via SFPL): 'Up to 2:15 o'clock this morning only four precincts in San Francisco had been counted comple,,,1914-08-25
1914-10-08,Recall,city,,16090,as recorded for this election,8944,certified / official canvass,55.6,8940,actual count as reported by the source,1914-10-09T03:00:00,100.0,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Municipal Reports official: 8,944","SF Chronicle 1914-10-09 p1 'VOTERS DECIDE ON RECALL OF GRANT' + 'DETAILED VOTE' table (NewsBank image edition via SFPL, masthead-verified): complete district count in the morning press, 42 precincts i",,,1914-10-08
