date,election_type,registration,total_turnout,night_of_count,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source
1908-08-11,Primary,55437,33331,30647,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","FY1908-09 Municipal Reports certified canvass p.1125: all-party total 33,331 (R 22,698 + D 8,605 + Ind 176 + Soc 301 + Proh 24 + UL 1,527)","SF Call 1908-08-12 p2 'The Vote of the City by Districts' (SFC19080812.2.14.2, lead .2.2): printed totals row 173 | 10,371 | 11,746 | 4,941 | 3,589 (OPERATOR-CONFIRMED 2026-07-09) [partial or contest-sum floor - a lower bound]",,
1908-11-03,General,75388,61625,36450,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports registrar cumulative table: official total vote polled 61,625, registration 75,388","SF Chronicle (NewsBank image scan via SFPL), 1908-11-04 PRES SF sum=36450, 300/300 precincts, complete",,
1908-11-12,Special,75467,41137,41011,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1908-11-13 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1908-11-13 p2 'Returns on Bond Election', 18-district table totals: Prop 1 Yes 34,950 / No 5,708",,
1909-06-22,Special,75679,24058,23133,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",Derived from SF Call 1909-06-25 arithmetic (news-derived final),SF Call 1909-06-23 p2 'How Two Bond Issues Fared at City Polls' (SFC19090623.2.22.x): district table's citywide totals row blank in print [partial or contest-sum floor - a lower bound],,
1909-06-24,Special,75808,22272,22258,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-06-25 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1909-06-25 'BY just 436 votes the Geary street railroad bonds failed... A total of 22,258 votes were cast -- 14,403 for the bo",,
1909-08-17,Primary,84571,38317,5452,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 38,317 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1909-08-18 p1/p2 (SFC19090818.2.9/.2.17.3/.2.2): 'returns from 59 out of 149 precincts, available at midnight': republican Mayor contest floor Countryman 916 + Crocker 2,376 + Mauzy 2,160 = 5, [partial or contest-sum floor - a lower bound]",,
1909-11-02,General,90790,65065,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-11-04 complete unofficial count (news-derived final),,,
1909-12-30,Special,90957,43189,43081,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",SF Call 1909-12-31 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1909-12-31 p1 'At six o'clock the polls closed and the count began... The total count showed 43,081 votes'",,
1910-01-14,Special,91026,35015,34939,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Municipal Reports official: 35,015","SF Call 1910-01-15 p9 'Vote Cast For and Against the Hetch Hetchy Project and the Purchase of Spring Valley' (SFC19100115.2.18.4, banner .2.2): COMPLETE overnight count, printed 'Total vote cast 34,93",,
1910-08-16,Primary,67513,47532,9557,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 47,532 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1910-08-17 p1 (SFC19100817.2.3.1): midnight partial, 100 scattered precincts [partial or contest-sum floor - a lower bound]",,
1910-11-08,General,75828,59724,10640,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","DOE turnout 59,724 (consistent, ~ SOV SF Governor 59,182: Johnson 25,528+Bell 24,065+Wilson 9,476+Meads 113). CA SoS Statement of Vote 1910, https://archive.org/details/statementofvo19081922cali","SF Chronicle (NewsBank image scan via SFPL), 1910-11-09 Governor SF sum=10640, 176/352 precincts, 0.5",,
1910-11-15,Special,75828,45889,2325,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 45,889 (data/sf_turnout_registrar_1899_1916.csv)",SF Call 1910-11-16 p1/p2 (SFC19101116.2.2/.2.25): 'complete returns ... up to midnight ... 61 scattering precincts' [partial or contest-sum floor - a lower bound],,
1911-09-26,Primary,101955,79019,3987,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Dept of Elections canvass, FY1911-12 vol p.195: 18-district Total Vote Polled sums exactly 79,019","SF Call 1911-09-27 p1 (SFC19110927.2.2): Zemansky's midnight compilation, coroner contest sum 3,987 at 186 partial precincts (Eggers 1,714 + Finn 1,657 + ...) [partial or contest-sum floor - a lower bound]",,
1911-10-10,Special,101894,59266,31032,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Municipal Reports official: 59,266","SF Call 1911-10-11 p1 (SFC19111011.2.9): 'In 220 precincts ... 19,869 against suffrage and 11,163 in favor' = suffrage contest floor 31,032 (the city voting against while the state carried it) [partial or contest-sum floor - a lower bound]",,
1911-11-07,Municipal,102196,69689,20633,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1911-11-09 complete unofficial count,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1911-11-08 p1: 'At Midnight His Opponent Led Him by 1,500 Votes in Over Twenty Thousand Counted' [partial or contest-sum floor - a lower bound]",,
1912-03-28,Special,115427,49498,49168,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","SF Call 1912-03-30 total-ballots statement 49,917 (news-derived final)","SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1912-03-29 'The total vote cast was 45,133 for the bonds and 4,035 against' with full district table [partial or contest-sum floor - a lower bound]",,
1912-03-29,Special,115445,32058,31968,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1912-03-30 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1912-03-30: 'The total vote cast yesterday wa£ 31,968, as against 49.917 the day before'",,
1912-05-14,Primary,136490,62407,60700,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 62,407 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-05-15 p2 'LOCAL RESULTS ANALYZED' (SFC19120515.2.18, lead .2.2): delegate-slate contest sum, 354/356 precincts: Roosevelt 21,650 + Taft 17,851 + La Follette 10,004 + Wilson 3,345 + Clark [partial or contest-sum floor - a lower bound]",,
1912-09-03,Primary,119933,65948,53721,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 65,948 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-09-04 p1 'THIS CITY'S VOTE IN DETAIL' (SFC19120904.2.8/.2.11): 'Returns from 454 out of 463 precincts', clocked 2 AM [partial or contest-sum floor - a lower bound]",,
1912-11-05,General,134688,105646,89789,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 105,646 consistent (>= SOV SF President 101,148: Wilson 48,953+Roosevelt 38,610+Debs 12,354+Chafin 1,158). CA SoS Statement of Vote 1912, https://archive.org/details/statementofvo19081922c","SF Chronicle (NewsBank image scan via SFPL), 1912-11-06 PRES SF sum=89789, 600/638 precincts, partial",,
1912-12-10,Special,136914,83850,22534,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","SF Municipal Reports registrar cumulative table: official total vote polled 83,850, registration 136,914","SF Chronicle (NewsBank image scan via SFPL), 1912-12-11 p2 'Tabulation of the Registrar' — HAND-COUNT era, PARTIAL 169/479 precincts by morning (~35%)",,
1912-12-20,Special,136914,47484,47238,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262","Registrar cumulative table official total 47,484 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1912-12-21 p1 'Story of Voting at a Glance / Only 47,238 Ballots Cast' (SFC19121221.2.3, tables .2.2): 'Complete Unofficial Returns' printed E+1 morning",,
1913-04-22,Special,137718,62876,62691,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.262",SF Call 1913-04-23 figures box total,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1913-04-23: headline 'Large Vote Cast for Special Election--Total 62,934' vs the figures box 'Total Vote ... 62,691'",,
1913-08-26,Special,141254,65522,65478,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","SF Municipal Reports registrar cumulative table: official total vote polled 65,522, registration 141,254","SF Chronicle (NewsBank image scan via SFPL), 1913-08-27 p1 — HAND-COUNT era but SINGLE-QUESTION bond → COMPLETE overnight",,
1913-09-30,Primary,143075,65905,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 65,905 (data/sf_turnout_registrar_1899_1916.csv)",,,
1913-11-11,Municipal,146462,72551,70442,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 72,551 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1913-11-12 p9 'MIXED TICKET' (SFC19131112.2.74): Registrar Zemansky's first complete count 'announced this morning' printed 'Total vote 72,574' which EXCEEDS the certified final by 23 [partial or contest-sum floor - a lower bound]",,
1914-08-25,Primary,147130,97417,491,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 97,417 (data/sf_turnout_registrar_1899_1916.csv)",SF Chronicle 1914-08-26 p1 + p9 'COUNT OF VOTE IN CITY PROCEEDS SLOWLY' (NewsBank image edition via SFPL): 'Up to 2:15 o'clock this morning only four precincts in San Francisco had been counted comple [partial or contest-sum floor - a lower bound],,
1914-10-08,Recall,16090,8944,8940,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Municipal Reports official: 8,944","SF Chronicle 1914-10-09 p1 'VOTERS DECIDE ON RECALL OF GRANT' + 'DETAILED VOTE' table (NewsBank image edition via SFPL, masthead-verified): complete district count in the morning press, 42 precincts i",,
1914-11-03,General,161846,134492,5612,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 134,492 = CA SoS Statement of Vote SF total ballots cast (Governor contest 132,103: Johnson 72,257+Fredericks 36,606+Curtin 16,167+Richardson 6,346+Moore 723). https://archive.org/details/","SF Chronicle (NewsBank image scan via SFPL), 1914-11-04 Governor SF sum=5612, 320/525 precincts, 0.610",,
1915-03-16,Special,162137,55611,41388,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","SF Call 1915-03-17 day+1 complete tabulation, largest measure sum (news-derived final)","SF Chronicle 1915-03-17 p1 (NewsBank image edition via SFPL, masthead-verified): 36-row YES/NO table, 'Total Vote Polled' 41,388 at 352 of 395 precincts, verbatim 'the count having been completed up t",,
1915-04-20,Special,162812,73583,73656,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","SF Municipal Reports Dept of Elections canvass: official Total Vote 73,583","SF Chronicle (NewsBank image scan via SFPL), 1915-04-21 p1 'TOTAL VOTE ON PURCHASE' — HAND era, SINGLE-QUESTION → COMPLETE",,
1915-09-28,Primary,179592,119105,27856,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 119,105 (data/sf_turnout_registrar_1899_1916.csv)","SF Chronicle 1915-09-29 p1 (NewsBank): 'the complete count tabulated from 189 out of 651 precincts in the city, at an early hour this morning' (Registrar Zemansky) [partial or contest-sum floor - a lower bound]",,
1915-10-26,Special,180204,48884,48817,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Municipal Reports official: 48,884","SF Chronicle 1915-10-27 p1+p2 'S. F. 27 to 20 Against No Party' box (NewsBank image edition via SFPL, masthead-verified): 'COMPLETE semi-official returns from the 651 precincts of San Francisco ... to",,
1915-11-09,Municipal,180204,83297,83138,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 83,297 (data/sf_turnout_registrar_1899_1916.csv)","SF Chronicle 1915-11-10 p3 'ONLY 83,138 ENTER POLLS' (NewsBank): 'In a total vote of 83,138 ... complete returns from yesterday's final municipal election'",,
1916-05-02,Primary,118927,48150,46832,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.329","Registrar cumulative table official total 48,150 (data/sf_turnout_registrar_1899_1916.csv)","SF Chronicle 1916-05-03 p2 box 'Regulars Lead by 6000 Votes in S. F.' (NewsBank): '362 out of 370 precincts complete in San Francisco at midnight ... a total vote of 46,832 returned with the count com",,
1916-08-29,Primary,,76902,54346,,,,"FY1916-17 Municipal Reports canvass total 76,902 (data/sf_turnout_registrar_1899_1916.csv)","SF Chronicle 1916-08-30 p1 'SAN FRANCISCO / Total vote, 575 Precincts' box (NewsBank): republican US Senate contest floor Booth 22,062 + Johnson 32,284 = 54,346, complete overnight [partial or contest-sum floor - a lower bound]",,
1916-11-07,General,184819,155747,4674,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 155,747 consistent (>= SOV SF President 149,152: Wilson 78,225+Hughes 63,093+Benson 6,423+Hanly 1,404). CA SoS Statement of Vote 1916, https://archive.org/details/statementofvo19081922cali","SF Chronicle (NewsBank image scan via SFPL), 1916-11-08 Charter amendments (president virtually none) SF sum=4674, 300/684 precincts, PARTIAL (president ""virtually none at hand"")",,
1917-10-30,Special,184819,45183,45183,,,1916-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1917-10-31 p1 — complete total ballots cast 45,183 (single-question bond)","SF Chronicle (NewsBank image scan via SFPL), 1917-10-31 p1 'SCHOOL BONDS AUTHORIZED' — HAND era, SINGLE-QUESTION → COMPLETE ~2 hrs after polls closed",,
1917-11-06,Municipal,184819,94774,4316,,,1916-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1917-11-08 p1 'Complete Unofficial Returns' — total vote cast 94,774 (City Attorney complete Lull 52,652+Hennessy 37,178=89,830)","SF Chronicle (NewsBank image scan via SFPL), 1917-11-07 p2 'Count in Three Precincts of Each Assembly District' (2:30 AM)",,
1918-11-05,General,175109,103011,0,,,SF Dept. of Elections historical turnout table (1899-2019),"DOE turnout 103,011 = CA SoS Statement of Vote SF total ballots cast (Governor 100,382: Bell 56,726+Stephens 36,099+Roser 5,249+Rolph w-i 2,302). https://archive.org/details/statementofvo19081922cali","SF Chronicle (NewsBank image scan via SFPL), 1918-11-06: NO SF count published by the morning paper",,
1920-11-02,General,210024,154592,102330,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 154,592 consistent (>= SOV SF President 147,450: Harding 96,105+Cox 32,637+Debs 17,049+Watkins 1,630). CA SoS Statement of Vote 1920, https://archive.org/details/statementofvo19081922cali/","SF Chronicle (NewsBank image scan via SFPL), 1920-11-03 President SF sum=102330, 700/771 precincts, 0.908",,
1921-03-08,Special,210024,74191,74079,,,1920-11-02 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],SF Call 1921-03-09 complete unofficial count (news-derived final),"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1921-03-09: 'The unofficial count at the close of the polls last night, showing the 419 precincts complete'",,
1922-11-07,General,201563,134503,35601,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 134,503 consistent (>= SOV SF Governor 132,225: Woolwine 70,464+Richardson 56,302+Horr 5,336). CA SoS Statement of Vote 1922, https://archive.org/details/statementofvo19081922cali/page/12","SF Chronicle (NewsBank image scan via SFPL), 1922-11-08 Governor SF sum=35601, 289/~750 precincts, partial",,
1922-11-21,Special,201563,81363,80766,,,1922-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Call 1922-11-23 complete district table, school-bond ballots (news-derived final)",SF Chronicle 1922-11-22 p1 'Results of Bond Vote Yesterday' [partial or contest-sum floor - a lower bound],,
1923-11-06,Municipal,201563,127983,94816,,,1922-11-07 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1923-11-08 p1 'Complete Vote Registered at Polls Tuesday' — total vote of city 127,983, all 604 precincts","SF Chronicle (NewsBank image scan via SFPL), 1923-11-07 'Latest Figures' box: Sheriff Finn 59,829+Robb 30,962+Rock 4,025=94,816 (largest single-seat contest), 505/604 precincts complete, semi-official",,
1924-10-07,Special,219434,71867,71867,,,1924-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1924-10-08 p1 — complete semi-official total 71,867 (single-question bond)","SF Chronicle (NewsBank image scan via SFPL), 1924-10-08 p1 'HETCH HETCHY BONDS CARRY' — machine-transition era, SINGLE-QUESTION → COMPLETE semi-official",,
1924-11-04,General,219434,159649,56871,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 159,649 consistent (>= SOV SF President 153,950: Coolidge 73,494+La Follette 68,864+Davis 9,811+Faris 1,781). CA SoS Statement of Vote 1924, https://archive.org/details/statementofvote1924","SF Chronicle (NewsBank image scan via SFPL), 1924-11-05 President SF sum=56871, 343/unknown precincts, partial",,
1925-11-03,Municipal,219434,124819,114975,,,1924-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1925-11-05 p3 'Complete Returns' — Total vote of city 124,819 (complete 819/819 precincts, semi-official, tabulated by Registrar Zemansky)","SF Chronicle (NewsBank image scan via SFPL), 1925-11-04 p1 'Latest Returns' box: City Attorney O'Toole 73282 + Lull 41693 = 114975 (largest clean head-to-head)",,
1926-11-02,General,222799,130835,92732,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 130,835 consistent (>= SOV SF Governor 125,301: Young 73,012+Wardell 47,757+Sinclair 4,532). CA SoS Statement of Vote 1926, https://archive.org/details/statementofvote192430cali/page/n205","SF Chronicle (NewsBank image scan via SFPL), 1926-11-03 GOVERNOR SF sum=92732, 703/892 precincts, PARTIAL",,
1927-06-14,Special,222799,70615,70615,,,1926-11-02 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1927-06-15 p1 — largest prop 70,615 (complete, all precincts)","SF Chronicle (NewsBank image scan via SFPL), 1927-06-15 p1 'Final Returns Of Election' — lever-machine era, COMPLETE",,
1927-11-08,Municipal,222799,163187,163187,,,1926-11-02 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1927-11-09 p1 'COMPLETE ELECTION RETURNS' box — 'The total vote was 163,187'","SF Chronicle (NewsBank image scan via SFPL), 1927-11-09 p1 'COMPLETE ELECTION RETURNS' box (reported to Registrar 11:30pm election night): Mayor Rolph 90,344+Power 59,442+Uhl 11,396=161,182",,
1928-05-01,Special,253053,116237,116237,,,1928-11-06 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1928-05-02 p1 — printed complete total vote 116,237 (all 806 precincts, election night)","SF Chronicle (NewsBank image scan via SFPL), 1928-05-02 p1 'COMPLETE S.F. VOTE' — lever-machine era, COMPLETE all 806/806 precincts, tabulated 11:15pm election night",,
1928-08-28,Primary,253053,50641,50641,,,1928-11-06 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle 1928-08-29 midnight-compiled count, Senate field (news-derived final)","SF Chronicle via NewsBank page image (SFPL ezproxy), 1928-08-29 p1 'S.F. ELECTION RETURNS' box (operator-verified verbatim 2026-07-08): 'Here are primary returns from 1000 out of 1003 precincts in San",,
1928-11-06,General,253053,199665,181264,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 199,665 consistent (>= SOV SF President 195,468: Smith 96,632+Hoover 95,987+Thomas 2,799). CA SoS Statement of Vote 1928, https://archive.org/details/statementofvote192639cali/page/n235","SF Chronicle (NewsBank image scan via SFPL), 1928-11-07 PRESIDENT SF sum=181264, 970/1006 precincts, PARTIAL",,
1929-11-05,Municipal,253053,96319,96319,,,1928-11-06 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],SF Chronicle 1929-11-07 recheck-confirmed count (news-derived final),"SF Chronicle via NewsBank page image (SFPL ezproxy), 1929-11-06 p1 'RETURNS' box + 1929-11-07 p2 recheck (operator-attended read 2026-07-08): 'Returns from 734 scattered precincts [received] at 12 o'c",,
1930-08-26,Primary,228582,139235,139235,,,1930-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1930-08-27 p1 — printed complete SF total vote 139,235 (largest primary turnout to date)","SF Chronicle (NewsBank image scan via SFPL), 1930-08-27 p1 — COMPLETE SF count",,
1930-11-04,General,228582,158629,145301,,,recovered canvass records (data/sf_archival_canvass_points.csv),DOE historical voter turnout table (certified),"SF Chronicle (NewsBank image scan via SFPL), 1930-11-05 GOVERNOR SF sum=145301, 1155/1155 precincts, COMPLETE",,
1931-02-06,Special,228582,84725,84725,,,1930-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle 1931-02-07 'Total vote cast 84,725' (news-derived final, complete count)","SF Chronicle via NewsBank page image (SFPL ezproxy), 1931-02-07 p1 'Complete Returns' box (operator-attended read 2026-07-08): 'Final semi official returns from the 788 precincts of San Francisco gave",,
1931-03-26,Special,228582,104727,104727,,,1930-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1931-03-27 p1 — New Charter measure 104,727 (complete, all 788 precincts) as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1931-03-27 p1 'DAWN OF NEW ERA FOR S.F.' — COMPLETE semi-official, all 788/788 precincts",,
1931-11-03,Municipal,228582,151351,151351,,,1930-11-04 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1931-11-04 p1 'Complete Returns' — 'Total vote, 151,351' (1155/1155 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1931-11-04 p1 'Complete Returns' box: Mayor Rossi 76,550+Uhl 69,743+Darcy 1,408+Hines 620+Horr 514+Valentine 236=149,071 (largest single-seat)",,
1932-05-03,Special,,136024,136024,,,,"SF Chronicle (NewsBank image scan via SFPL), 1932-05-04 p1 — Hetch Hetchy Bonds 136,024 (complete, all 1050 precincts) as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1932-05-04 p1 'S.F. RETURNS' — COMPLETE semi-official, all 1050/1050 precincts",,
1932-08-30,Primary,,154352,154352,,,,"SF Chronicle (NewsBank image scan via SFPL), 1932-08-31 p1 — Relief Bonds 154,352 (largest contest, all 1050 precincts) as citywide turnout floor","SF Chronicle (NewsBank image scan via SFPL), 1932-08-31 p1 'S.F. ELECTION RETURNS' — COMPLETE semi-official, all 1050/1050 precincts",,
1932-11-08,General,273487,227283,200912,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout 227,283 consistent (>= SOV SF President 223,197: Roosevelt 144,236+Hoover 70,152+Thomas 5,802). CA SoS Statement of Vote 1932, https://archive.org/details/statementofvote192639cali/page/n5","SF Chronicle (NewsBank image scan via SFPL), 1932-11-09 President SF sum=200912, 1050/1050 precincts, COMPLETE (""complete San Francisco vote"")",,
1933-04-11,Special,273487,99381,99381,,,1932-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1933-04-12 p1 — printed total ballots cast 99,381 (all 798 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1933-04-12 p1 'S.F. Votes Pay Cut' — COMPLETE, all 798/798 precincts",,
1933-06-27,Special,273487,150068,150068,,,1932-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1933-06-28 p1 — printed SF total vote 150,068","SF Chronicle (NewsBank image scan via SFPL), 1933-06-28 p1 ELECTION EXTRA — COMPLETE semi-official (excl 3,008 absentees pending)",,
1933-11-07,Municipal,273487,161599,161599,,,1932-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1933-11-08 p1 — total vote cast 161,599 (Registrar semi-official, all 912 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1933-11-08 p1 'Final Returns' box: City Attorney O'Toole 90,110+Van Ness 50,757=140,867",,
1933-12-19,Special,273487,98955,98955,,,1932-11-08 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1933-12-20 p4 — SF measure total 98,955 (complete, 912/912 precincts)","SF Chronicle (NewsBank image scan via SFPL), 1933-12-20 p4 'State Election Table' — COMPLETE, SF County 912/912 precincts",,
1934-11-06,General,290683,225977,220795,,,SF Dept. of Elections historical turnout table (1899-2019),"CA Secretary of State, 'Statement of Vote, General Election November 6, 1934'","SF Chronicle (NewsBank image scan via SFPL), 1934-11-07 p1 EXTRA 'MERRIAM WINS EASILY'",,
1935-05-02,Special,290683,130526,130526,,,1934-11-06 general-election registration (SF DOE historical turnout table) [reused from the nearest general per era registration law; approximate],"SF Chronicle (NewsBank image scan via SFPL), 1935-05-03 p1 — largest charter amendment 130,526 (complete, all 828 precincts) as citywide floor","SF Chronicle (NewsBank image scan via SFPL), 1935-05-03 p1 'ELECTION RETURNS (Complete)' — COMPLETE, all 828/828 precincts ('all of the city's 828 precincts counted')",,
